City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Antibes,FR,57.67,clear sky,43.5624,7.1278,"ROYAL ANTIBES Luxury Hotel, Residence, Beach & Spa"
2,Kodiak,US,42.31,moderate rain,57.79,-152.4072,Best Western Kodiak Inn
3,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
4,Hermanus,ZA,56.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
5,Kavieng,PG,83.01,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
6,Georgetown,MY,80.24,few clouds,5.4112,100.3354,Cititel Penang
8,Jamestown,US,35.19,light snow,42.097,-79.2353,Hampton Inn & Suites Jamestown
9,Pevek,RU,7.03,light snow,69.7008,170.3133,Severnoye Zoloto
10,Port Alfred,ZA,62.19,broken clouds,-33.5906,26.891,The Halyards Hotel & Spa
12,Clearlake,US,68.94,clear sky,38.9582,-122.6264,Americas Best Value Inn & Suites Clearlake Wine Country
13,Arraial Do Cabo,BR,73.26,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
14,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
15,Ayan,RU,10.02,clear sky,56.45,138.1667,Gostinitsa
16,Roma,US,40.82,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
17,Thompson,CA,19.56,light snow,55.7435,-97.8558,Burntwood Hotel
18,Victoria,HK,74.32,overcast clouds,22.2855,114.1577,Mini Central
19,Kapaa,US,80.92,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
20,Atuona,PF,78.03,clear sky,-9.8,-139.0333,Villa Enata
22,Porto Novo,BJ,82.22,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
23,Castro,BR,62.26,clear sky,-24.7911,-50.0119,CHACARA BAILLY
24,Port Elizabeth,ZA,64.31,few clouds,-33.918,25.5701,39 On Nile Guest House
25,Tailai,CN,25.02,scattered clouds,46.3833,123.4,Pearl Garden Hotel
26,Cherskiy,RU,0.1,overcast clouds,68.75,161.3,Gostinitsa
27,Kupang,ID,80.06,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
28,Cape Town,ZA,62.28,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
30,Hilo,US,80.33,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
31,Broome,US,40.69,overcast clouds,42.2506,-75.833,Chenango Valley State Park
32,Bredasdorp,ZA,57.76,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
34,Rongcheng,CN,54.82,overcast clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
35,Yulara,AU,67.28,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
36,Bethel,US,45.48,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
37,Saint George,US,54.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
39,Punta Arenas,CL,57.31,broken clouds,-53.15,-70.9167,Hotel Hain
40,Ahipara,NZ,68.02,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
41,Pisco,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
42,Gizo,SB,83.7,overcast clouds,-8.103,156.8419,Imagination Island
43,Oriximina,BR,84.9,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
44,Namibe,AO,68.18,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
45,Rikitea,PF,73.04,moderate rain,-23.1203,-134.9692,People ThankYou
46,Jacareacanga,BR,81.39,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
47,Ciudad Bolivar,VE,84.63,overcast clouds,8.1222,-63.5497,Hotel Edi
48,Hithadhoo,MV,80.53,broken clouds,-0.6,73.0833,Scoop Guest House
49,Polson,US,29.48,overcast clouds,47.6936,-114.1632,Americas Best Value Port Polson Inn
50,Freeport,US,48.38,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
52,Bodden Town,KY,86.0,scattered clouds,19.2833,-81.25,Will T Place
53,Butaritari,KI,80.87,broken clouds,3.0707,172.7902,Isles Sunset Lodge
54,Faanui,PF,79.14,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
55,Narsaq,GL,25.02,broken clouds,60.9167,-46.05,Sleep In Narsaq
57,Chuy,UY,66.09,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
59,Jieznas,LT,31.59,overcast clouds,54.6,24.1667,Ustrone
60,Ushuaia,AR,56.86,scattered clouds,-54.8,-68.3,Albatross Hotel
