City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Antibes,FR,43.5624,7.1278,57.67,79,0,5.75,clear sky
1,Mirnyy,RU,62.5353,113.9611,-6.77,83,100,1.99,overcast clouds
2,Kodiak,US,57.79,-152.4072,42.31,100,100,14.97,moderate rain
3,Kahului,US,20.8947,-156.47,82.42,62,20,20.71,few clouds
4,Hermanus,ZA,-34.4187,19.2345,56.8,71,93,3.89,overcast clouds
5,Kavieng,PG,-2.5744,150.7967,83.01,70,100,9.06,overcast clouds
6,Georgetown,MY,5.4112,100.3354,80.24,93,20,2.3,few clouds
7,Airai,TL,-8.9266,125.4092,62.82,85,100,0.67,overcast clouds
8,Jamestown,US,42.097,-79.2353,35.19,73,100,12.66,light snow
9,Pevek,RU,69.7008,170.3133,7.03,95,100,1.01,light snow
10,Port Alfred,ZA,-33.5906,26.891,62.19,94,66,3.18,broken clouds
11,Henties Bay,NA,-22.116,14.2845,60.66,85,1,7.94,clear sky
12,Clearlake,US,38.9582,-122.6264,68.94,15,0,2.26,clear sky
13,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,88,75,11.5,broken clouds
14,Puerto Ayora,EC,-0.7393,-90.3518,75.16,94,81,7.0,broken clouds
15,Ayan,RU,56.45,138.1667,10.02,56,1,5.91,clear sky
16,Roma,US,43.2128,-75.4557,40.82,87,100,3.0,overcast clouds
17,Thompson,CA,55.7435,-97.8558,19.56,93,100,5.75,light snow
18,Victoria,HK,22.2855,114.1577,74.32,87,97,11.01,overcast clouds
19,Kapaa,US,22.0752,-159.319,80.92,59,20,12.66,few clouds
20,Atuona,PF,-9.8,-139.0333,78.03,75,3,13.02,clear sky
21,Agirish,RU,61.9247,63.0231,-9.9,95,17,2.95,few clouds
22,Porto Novo,BJ,6.4965,2.6036,82.22,80,2,7.76,clear sky
23,Castro,BR,-24.7911,-50.0119,62.26,64,1,4.03,clear sky
24,Port Elizabeth,ZA,-33.918,25.5701,64.31,87,20,6.91,few clouds
25,Tailai,CN,46.3833,123.4,25.02,78,45,6.93,scattered clouds
26,Cherskiy,RU,68.75,161.3,0.1,93,100,8.72,overcast clouds
27,Kupang,ID,-10.1667,123.5833,80.06,79,70,2.33,broken clouds
28,Cape Town,ZA,-33.9258,18.4232,62.28,70,0,13.8,clear sky
29,Tazovskiy,RU,67.4667,78.7,-11.56,99,100,1.81,overcast clouds
30,Hilo,US,19.7297,-155.09,80.33,70,40,6.91,scattered clouds
31,Broome,US,42.2506,-75.833,40.69,83,100,10.36,overcast clouds
32,Bredasdorp,ZA,-34.5322,20.0403,57.76,65,100,3.87,overcast clouds
33,Talnakh,RU,69.4865,88.3972,-25.69,99,35,5.35,scattered clouds
34,Rongcheng,CN,30.634,117.8517,54.82,95,100,1.7,overcast clouds
35,Yulara,AU,-25.2406,130.9889,67.28,62,19,17.27,few clouds
36,Bethel,US,41.3712,-73.414,45.48,73,82,5.01,broken clouds
37,Saint George,US,37.1041,-113.5841,54.43,26,0,5.01,clear sky
38,Bara,NG,10.3744,10.7288,76.03,31,96,7.63,overcast clouds
39,Punta Arenas,CL,-53.15,-70.9167,57.31,38,75,18.41,broken clouds
40,Ahipara,NZ,-35.1667,173.1667,68.02,61,34,9.35,scattered clouds
41,Pisco,PE,-13.7,-76.2167,69.85,68,0,20.71,clear sky
42,Gizo,SB,-8.103,156.8419,83.7,68,89,7.99,overcast clouds
43,Oriximina,BR,-1.7656,-55.8661,84.9,53,76,2.42,broken clouds
44,Namibe,AO,-15.1961,12.1522,68.18,80,41,9.28,scattered clouds
45,Rikitea,PF,-23.1203,-134.9692,73.04,90,100,26.89,moderate rain
46,Jacareacanga,BR,-6.2222,-57.7528,81.39,73,98,3.0,overcast clouds
47,Ciudad Bolivar,VE,8.1222,-63.5497,84.63,63,100,5.5,overcast clouds
48,Hithadhoo,MV,-0.6,73.0833,80.53,78,54,10.74,broken clouds
49,Polson,US,47.6936,-114.1632,29.48,87,100,1.74,overcast clouds
50,Freeport,US,40.6576,-73.5832,48.38,67,0,10.36,clear sky
51,Igarka,RU,67.4667,86.5833,-24.21,98,14,8.55,few clouds
52,Bodden Town,KY,19.2833,-81.25,86.0,67,40,13.8,scattered clouds
53,Butaritari,KI,3.0707,172.7902,80.87,76,76,21.27,broken clouds
54,Faanui,PF,-16.4833,-151.75,79.14,76,100,2.75,overcast clouds
55,Narsaq,GL,60.9167,-46.05,25.02,89,80,4.7,broken clouds
56,Bukama,CD,-9.2,25.85,67.24,95,89,3.51,overcast clouds
57,Chuy,UY,-33.6971,-53.4616,66.09,69,4,6.04,clear sky
58,Tiksi,RU,71.6872,128.8694,-22.25,99,88,4.94,overcast clouds
59,Jieznas,LT,54.6,24.1667,31.59,71,92,9.69,overcast clouds
60,Ushuaia,AR,-54.8,-68.3,56.86,38,40,8.05,scattered clouds
61,Pochutla,MX,15.7432,-96.4661,89.42,58,93,6.13,overcast clouds
62,Hobart,AU,-42.8794,147.3294,53.26,74,75,5.75,broken clouds
63,Khatanga,RU,71.9667,102.5,-20.0,99,98,4.83,overcast clouds
64,Busselton,AU,-33.65,115.3333,59.16,76,79,14.09,broken clouds
65,Bama,NG,11.5221,13.6856,71.98,34,35,7.02,scattered clouds
66,Paamiut,GL,61.994,-49.6678,15.26,84,59,11.7,broken clouds
67,Provideniya,RU,64.3833,-173.3,37.51,87,100,25.01,fog
68,Mendeleyevsk,RU,55.9082,52.2905,20.44,95,93,4.85,overcast clouds
69,Janauba,BR,-15.8025,-43.3089,69.06,93,100,1.41,overcast clouds
70,Mataura,NZ,-46.1927,168.8643,58.48,98,100,0.49,overcast clouds
71,Hasaki,JP,35.7333,140.8333,46.22,63,31,15.17,scattered clouds
72,Albany,US,42.6001,-73.9662,40.64,83,85,9.75,overcast clouds
73,Sao Filipe,CV,14.8961,-24.4956,77.72,67,34,5.97,scattered clouds
74,Chicama,PE,-7.8447,-79.1469,61.34,69,49,8.97,scattered clouds
75,Prieska,ZA,-29.6641,22.7474,73.06,17,67,4.83,broken clouds
76,Vaini,TO,-21.2,-175.2,80.76,78,20,4.61,few clouds
77,East London,ZA,-33.0153,27.9116,67.17,76,81,3.27,broken clouds
78,Carnarvon,AU,-24.8667,113.6333,66.96,64,100,15.93,overcast clouds
79,Alpena,US,45.0617,-83.4327,32.25,90,100,9.22,overcast clouds
80,Kavaratti,IN,10.5669,72.642,80.42,74,12,1.34,few clouds
81,Basco,PH,20.4487,121.9702,80.73,70,87,18.19,overcast clouds
82,Bluff,NZ,-46.6,168.3333,58.8,88,100,9.22,overcast clouds
83,Nanortalik,GL,60.1432,-45.2371,20.3,77,60,20.8,broken clouds
84,Norman Wells,CA,65.282,-126.8329,6.84,85,75,5.75,broken clouds
85,Fortuna,US,40.5982,-124.1573,64.92,51,0,3.44,clear sky
86,Cidreira,BR,-30.1811,-50.2056,68.31,61,0,4.88,clear sky
87,Belaya Gora,RU,68.5333,146.4167,-20.45,97,100,2.75,overcast clouds
88,Yumen,CN,40.2833,97.2,28.67,33,0,3.4,clear sky
89,Ambilobe,MG,-13.2,49.05,73.11,88,71,2.71,broken clouds
90,Padang,ID,-0.9492,100.3543,74.73,96,100,9.44,moderate rain
91,Amahai,ID,-3.3333,128.9167,80.02,81,100,2.66,overcast clouds
92,Severo-Kurilsk,RU,50.6789,156.125,33.04,69,64,5.84,broken clouds
93,Zhezkazgan,KZ,47.8043,67.7144,21.94,73,44,10.69,scattered clouds
94,Daru,PG,-9.0763,143.2092,82.54,84,100,6.02,overcast clouds
95,Pangnirtung,CA,66.1451,-65.7125,-2.15,83,81,3.6,broken clouds
96,Qaanaaq,GL,77.484,-69.3632,-2.31,98,100,3.11,overcast clouds
97,Velyka Bahachka,UA,49.7912,33.7226,38.79,94,100,8.99,light rain
98,Brazzaville,CG,-4.2658,15.2832,73.02,93,86,1.92,light rain
99,Chokurdakh,RU,70.6333,147.9167,-22.4,99,97,4.05,overcast clouds
100,Katsuura,JP,35.1333,140.3,56.55,75,40,13.76,scattered clouds
101,Anito,PH,12.4497,125.2886,78.78,90,94,7.65,overcast clouds
102,Lorengau,PG,-2.0226,147.2712,82.94,64,92,5.59,overcast clouds
103,Barrow,US,71.2906,-156.7887,28.42,74,0,18.41,clear sky
104,Husavik,IS,66.0449,-17.3389,42.94,82,100,14.36,overcast clouds
105,Benin,BJ,9.5,2.25,73.44,31,70,3.27,broken clouds
106,Semporna,MY,4.4818,118.6112,78.44,90,52,5.61,light rain
107,Usvyaty,RU,55.7456,30.7533,27.09,75,7,3.18,clear sky
108,Corvallis,US,44.5646,-123.262,53.62,59,0,5.01,clear sky
109,Yellowknife,CA,62.456,-114.3525,1.92,71,20,11.5,few clouds
110,Souillac,MU,-20.5167,57.5167,70.18,83,40,3.44,scattered clouds
111,Dalvik,IS,65.9702,-18.5286,44.53,84,96,9.8,overcast clouds
112,Ribeira Grande,PT,38.5167,-28.7,65.77,77,40,9.22,scattered clouds
113,San Patricio,US,28.017,-97.5169,51.67,61,100,11.21,overcast clouds
114,Hamilton,US,39.1834,-84.5333,36.37,85,100,13.8,overcast clouds
115,Champerico,GT,14.3,-91.9167,93.74,68,87,4.36,overcast clouds
116,Upernavik,GL,72.7868,-56.1549,11.82,90,99,10.6,overcast clouds
117,Alberton,CA,46.8168,-64.0654,35.51,97,100,18.54,light rain
118,Chiman,PK,32.5463,73.8138,60.31,54,0,5.75,clear sky
119,San Pedro,PH,14.35,121.0167,77.36,94,20,2.3,few clouds
120,Trojan,PL,53.7897,20.2404,31.01,77,44,10.96,scattered clouds
121,Jalu,LY,29.0331,21.5482,63.54,36,0,11.18,clear sky
122,Tigil,RU,57.8,158.6667,11.52,95,81,5.37,broken clouds
123,Ulladulla,AU,-35.35,150.4667,57.07,49,30,7.74,scattered clouds
124,Coquimbo,CL,-29.9533,-71.3436,64.13,72,40,10.36,scattered clouds
125,Kant,IN,27.8,79.8,63.03,45,0,6.71,clear sky
126,Evensk,RU,61.95,159.2333,1.36,89,99,6.87,overcast clouds
127,Stornoway,GB,58.2093,-6.3865,46.36,78,31,5.75,scattered clouds
128,Estevan,CA,49.1334,-102.9842,26.94,80,100,20.71,overcast clouds
129,Saint-Philippe,RE,-21.3585,55.7679,67.59,76,37,7.4,scattered clouds
130,Miramar,US,25.9873,-80.2323,86.0,75,100,11.5,overcast clouds
131,Sayan,PE,-11.1361,-77.1933,73.98,50,100,6.69,overcast clouds
132,Nalut,LY,30.3333,10.85,62.17,27,0,11.48,clear sky
133,New Norfolk,AU,-42.7826,147.0587,52.92,71,99,1.01,overcast clouds
134,Ponta Do Sol,PT,32.6667,-17.1,70.72,86,70,8.28,broken clouds
135,Tautira,PF,-17.7333,-149.15,77.41,80,93,7.4,overcast clouds
136,Jambi,ID,-1.6,103.6167,73.0,96,100,2.86,moderate rain
137,Mar Del Plata,AR,-38.0023,-57.5575,72.82,72,40,6.91,scattered clouds
138,East Wenatchee Bench,US,47.4257,-120.2812,37.54,80,100,0.0,overcast clouds
139,Merke,KZ,42.8728,73.1786,24.39,83,48,6.58,scattered clouds
140,Port Hardy,CA,50.6996,-127.4199,41.18,87,40,3.44,scattered clouds
141,San Carlos,VE,9.6612,-68.5827,77.45,90,100,2.77,overcast clouds
142,Carutapera,BR,-1.195,-46.02,79.02,75,70,7.7,broken clouds
143,Takoradi,GH,4.8845,-1.7554,78.37,83,9,8.03,light rain
144,Tasiilaq,GL,65.6145,-37.6368,32.16,91,100,20.42,light snow
145,Sayyan,YE,15.1718,44.3244,51.06,40,4,3.53,clear sky
146,Nikolskoye,RU,59.7035,30.7861,31.91,88,100,5.39,overcast clouds
147,Lubao,PH,14.9167,120.55,80.31,83,95,6.11,moderate rain
148,Vardo,NO,70.3705,31.1107,31.98,74,0,16.11,clear sky
149,Sur,OM,22.5667,59.5289,76.37,76,8,3.96,clear sky
150,Shingu,JP,33.7333,135.9833,50.97,76,56,6.53,broken clouds
151,Rosita,NI,13.9268,-84.4032,79.5,85,49,4.12,scattered clouds
152,Saskylakh,RU,71.9167,114.0833,-27.65,99,99,5.28,overcast clouds
153,Serebryanyy Bor,RU,56.8,124.8,-10.16,99,98,2.33,overcast clouds
154,Iqaluit,CA,63.7506,-68.5145,4.73,72,75,9.22,broken clouds
155,Lucea,JM,18.451,-78.1736,84.06,80,55,15.23,broken clouds
156,Tuatapere,NZ,-46.1333,167.6833,57.67,93,100,4.12,overcast clouds
157,Srednekolymsk,RU,67.45,153.6833,-7.64,95,100,9.69,overcast clouds
158,Oshawa,CA,43.9001,-78.8496,34.21,56,100,6.91,overcast clouds
159,Sistranda,NO,63.7256,8.834,42.76,59,3,15.26,clear sky
160,Avarua,CK,-21.2078,-159.775,78.85,61,37,14.97,scattered clouds
161,Bengkulu,ID,-3.8004,102.2655,73.33,97,100,12.97,light rain
162,Tighina,MD,46.8306,29.4711,38.17,79,60,1.28,broken clouds
163,Leh,IN,34.1667,77.5833,19.15,89,95,4.14,overcast clouds
164,Codrington,AU,-38.2667,141.9667,54.84,76,53,7.07,broken clouds
165,Kuytun,RU,54.3419,101.5036,22.21,78,95,4.74,overcast clouds
166,Tecoanapa,MX,16.5167,-98.75,84.11,65,28,7.29,scattered clouds
167,Virginia Beach,US,36.8529,-75.978,55.44,72,75,10.36,broken clouds
168,Asau,RO,46.4333,26.4,32.92,88,81,3.53,broken clouds
169,Banjar,ID,-8.19,114.9675,78.6,85,100,3.11,overcast clouds
170,Ust-Tsilma,RU,65.441,52.1498,-4.36,100,11,3.36,few clouds
171,Vanimo,PG,-2.6741,141.3028,79.09,89,86,5.14,overcast clouds
172,Dakar,SN,14.6937,-17.4441,80.73,83,0,0.0,clear sky
173,Dikson,RU,73.5069,80.5464,-3.68,99,100,10.09,overcast clouds
174,Sitka,US,57.0531,-135.33,48.09,81,20,5.75,few clouds
175,Mahebourg,MU,-20.4081,57.7,70.09,83,40,3.44,scattered clouds
176,Longyearbyen,SJ,78.2186,15.6401,24.64,74,40,19.57,scattered clouds
177,Berbera,SO,10.4396,45.0143,79.18,64,4,3.6,clear sky
178,Temnikov,RU,54.6302,43.2148,24.67,85,45,6.62,scattered clouds
179,Kruisfontein,ZA,-34.0033,24.7314,60.89,72,64,5.97,broken clouds
180,Vysokogornyy,RU,50.1167,139.15,7.88,99,97,1.63,overcast clouds
181,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.38,81,65,6.55,broken clouds
182,Ostersund,SE,63.1792,14.6357,27.05,100,100,8.05,overcast clouds
183,Mujiayingzi,CN,42.1167,118.7833,29.79,74,2,6.24,clear sky
184,Coruripe,BR,-10.1256,-36.1756,77.23,84,69,10.87,broken clouds
185,Pataskala,US,39.9956,-82.6743,37.06,77,100,11.5,overcast clouds
186,Hay River,CA,60.8156,-115.7999,13.98,79,75,10.36,light snow
187,Awbari,LY,26.5921,12.7805,61.21,32,43,4.41,scattered clouds
188,Tabou,CI,4.423,-7.3528,77.83,84,5,7.09,clear sky
189,Maldonado,UY,-34.6667,-54.9167,74.59,66,7,2.84,clear sky
190,Kirakira,SB,-10.4544,161.9205,83.41,77,54,4.9,broken clouds
191,Penzance,GB,50.1186,-5.5371,48.88,68,99,23.04,overcast clouds
192,Kieta,PG,-6.2167,155.6333,82.67,68,100,3.42,overcast clouds
193,Yar-Sale,RU,66.8333,70.8333,6.28,93,100,7.56,overcast clouds
194,Vila Velha,BR,-20.3297,-40.2925,71.94,96,75,3.44,broken clouds
195,Haines Junction,CA,60.7522,-137.5108,22.95,74,99,2.3,overcast clouds
